furniture,type,rate,delivery,sale,price
266,264,0.0,172.14,0.05,5500.0
267,493,5.0,172.14,0.5,1600.0
148,264,4.0,172.14,0.5,800.0
268,178,0.0,52.44,0.0,270.0
256,137,0.0,52.44,0.39,1700.0
269,264,0.0,52.44,0.44,500.0
0,137,0.0,172.14,0.0,1000.0
270,490,0.0,52.44,0.25,11200.0
121,409,0.0,172.14,0.21,7000.0
271,264,0.0,172.14,0.0,406.0
263,151,5.0,172.14,0.0,3872.0
272,264,0.0,52.44,0.4,230.0
273,264,0.0,172.14,0.54,1850.0
50,264,0.0,172.14,0.48,2200.0
274,479,0.0,172.14,0.19,6200.0
275,264,0.0,172.14,0.0,20000.0
276,12,0.0,172.14,0.25,5999.0
277,304,0.0,92.4,0.68,338.0
278,118,0.0,52.44,0.0,1250.0
279,264,0.0,52.44,0.2,500.0
53,264,5.0,52.44,0.45,1000.0
280,28,0.0,172.14,0.0,9000.0
281,264,0.0,52.44,0.25,1200.0
282,452,4.6,52.44,0.0,1700.0
283,96,0.0,52.44,0.0,240.0
284,28,3.7,172.14,0.0,4000.0
285,264,0.0,172.14,0.0,3000.0
248,207,3.5,172.14,0.0,2500.0
65,264,0.0,52.44,0.0,860.0
244,11,0.0,52.44,0.34,350.0
255,264,0.0,52.44,0.0,499.0
286,264,0.0,172.14,0.13,2800.0
123,264,0.0,172.14,0.13,4500.0
287,232,0.0,172.14,0.63,2550.0
288,236,0.0,52.44,0.25,7900.0
256,137,0.0,52.44,0.39,1700.0
289,264,0.0,10.83,0.65,950.0
281,264,0.0,52.44,0.25,1200.0
290,264,0.0,172.14,0.0,950.0
291,245,0.0,172.14,0.4,4500.0
77,264,0.0,172.14,0.0,6000.0
110,34,4.5,52.44,0.0,850.0
292,495,3.0,52.44,0.0,465.0
165,579,0.0,285.17,0.5,1258.0
293,409,4.0,172.14,0.13,4000.0
294,264,0.0,52.44,0.1,648.0
264,245,3.5,52.44,0.56,1600.0
295,264,0.0,52.44,0.0,10500.0
296,25,5.0,52.44,0.17,3000.0
297,409,0.0,172.14,0.25,16000.0
298,205,0.0,172.14,0.0,50000.0
96,12,0.0,172.14,0.1,6999.0
299,25,0.0,52.44,0.09,6000.0
123,264,3.0,172.14,0.13,4500.0
300,264,3.0,172.14,0.1,5000.0
301,416,4.3,52.44,0.06,2700.0
29,264,3.7,172.14,0.29,3500.0
302,400,1.0,52.44,0.39,500.0
124,34,0.0,52.44,0.0,1199.0
303,409,0.0,172.14,0.17,12000.0
304,563,0.0,92.5,0.5,500.0
305,12,0.0,172.14,0.27,4500.0
306,264,3.7,52.44,0.24,550.0
307,326,0.0,94.25,0.68,353.0
308,413,3.0,172.14,0.18,4000.0
309,288,3.9,172.14,0.5,2000.0
310,264,0.0,52.44,0.34,1050.0
311,264,0.0,52.44,0.33,1050.0
312,528,0.0,96.08,0.46,428.48
17,134,0.0,172.14,0.0,1800.0
313,58,0.0,108.92,0.5,305.28
314,461,0.0,52.44,0.0,455.0
214,264,0.0,52.44,0.61,3500.0
254,264,0.0,172.14,0.27,2750.0
279,264,0.0,52.44,0.13,400.0
315,398,0.0,195.26,0.5,772.0
316,264,0.0,52.44,0.0,2200.0
63,264,0.0,172.14,0.19,4800.0
317,264,0.0,52.44,0.17,2124.0
318,264,0.0,52.44,0.0,10500.0
201,264,0.0,52.44,0.0,375.0
319,28,4.0,172.14,0.0,3500.0
296,25,5.0,52.44,0.22,3000.0
121,409,3.4,172.14,0.08,6000.0
320,507,0.0,305.24,0.48,1519.83
321,264,0.0,52.44,0.12,10500.0
322,264,0.0,172.14,0.0,185.0
323,245,4.0,52.44,0.16,3700.0
324,264,0.0,172.14,0.0,424.0
325,28,0.0,172.14,0.0,4000.0
151,264,0.0,52.44,0.0,444.0
326,180,0.0,52.44,0.44,750.0
327,262,0.0,52.44,0.0,359.0
328,350,0.0,66.33,0.0,150.0
329,12,0.0,172.14,0.08,5999.0
330,258,0.0,52.44,0.31,1290.0
121,207,3.0,172.14,0.0,4599.0
331,264,0.0,172.14,0.0,330.0
332,264,3.6,52.44,0.48,290.0
333,28,0.0,172.14,0.0,4000.0
334,264,0.0,52.44,0.19,5900.0
335,137,0.0,52.44,0.36,1700.0
336,264,5.0,52.44,0.12,1240.0
337,125,0.0,202.31,0.49,1009.02
338,245,3.0,52.44,0.28,10500.0
339,428,0.0,172.14,0.12,2500.0
340,330,0.0,113.12,0.68,506.0
341,141,0.0,172.14,0.34,1450.0
342,96,0.0,172.14,0.0,1200.0
343,12,0.0,172.14,0.1,3999.0
344,34,0.0,52.44,0.11,1799.0
345,264,0.0,172.14,0.44,3990.0
346,192,3.0,52.44,0.33,2400.0
125,264,5.0,172.14,0.34,3899.0
347,211,0.0,97.58,0.5,244.0
348,264,0.0,172.14,0.0,9400.0
11,264,0.0,52.44,0.7,3000.0
349,197,5.0,52.44,0.4,850.0
350,151,0.0,172.14,0.0,3783.0
351,245,0.0,52.44,0.57,1200.0
123,264,0.0,172.14,0.22,4999.0
2,137,0.0,172.14,0.55,1050.0
77,264,0.0,172.14,0.0,6000.0
50,264,0.0,172.14,0.55,1850.0
214,264,0.0,52.44,0.17,2238.0
121,12,0.0,172.14,0.28,5999.0
352,555,0.0,52.44,0.27,2200.0
353,395,0.0,215.44,0.5,1106.0
214,264,0.0,52.44,0.17,5370.0
354,548,0.0,52.44,0.17,450.0
5,137,0.0,52.44,0.5,1900.0
355,19,0.0,172.14,0.28,4999.0
356,78,0.0,52.44,0.01,1000.0
102,264,4.0,52.44,0.17,900.0
136,207,0.0,172.14,0.0,3500.0
119,409,0.0,172.14,0.13,4000.0
196,394,3.0,52.44,0.12,740.0
2,137,0.0,172.14,0.57,1050.0
357,402,0.0,52.44,0.0,650.0
5,137,0.0,52.44,0.53,1900.0
358,394,0.0,52.44,0.12,740.0
91,394,1.0,52.44,0.13,746.0
341,141,0.0,172.14,0.46,1750.0
359,25,0.0,172.14,0.33,3000.0
